name,symbol,contract,market_cap_usd,volume_24h_usd,label,reliability,risk,rationale
USDT,USDT,0xdAC17F958D2ee523a2206206994597C13D831ec7,95000000000.0,50000000000.0,investable,0.9,0.1,"Tether (USDT) is one of the most widely used stablecoins and is backed by fiat currency. Its large market capitalization and high trading volume indicate strong liquidity and usage. However, the lack of transparency in its reserve holdings poses some risk."
USDC,USDC,0xA0b86a33E6441b8c4C8C8C8C8C8C8C8C8C8C8C8,32000000000.0,8000000000.0,investable,0.95,0.05,"USDC is a stablecoin issued by Circle Internet Financial LLC and backed one-to-one with US dollars. It has a large market capitalization and high trading volume, indicating strong liquidity and trust. The contract address provided is a known and trusted one for USDC."
Uniswap,UNI,0x1f9840a85d5aF5bf1D1762F925BDADdC4201F984,12000000000.0,200000000.0,investable,0.8,0.2,"Uniswap (UNI) is a well-known and established token in the DeFi space, backed by a significant market capitalization and trading volume. However, the lack of holder data might indicate limited liquidity or usage."
Chainlink,LINK,0x514910771AF9Ca656af840dff83E8264EcF986CA,8000000000.0,300000000.0,investable,0.8,0.2,"Chainlink (LINK) is a well-known and established token in the DeFi space, backed by a strong protocol and a large market capitalization. The token has a significant market capitalization and no holders estimate provided suggests a diverse distribution, which is generally positive. However, the risk is slightly higher due to the speculative nature of cryptocurrencies."
Aave,AAVE,0x7Fc66500c84A76Ad7e9c93437bFc5Ac33E2DDaE9,2000000000.0,80000000.0,investable,0.8,0.2,"Aave (AAVE) is a well-known decentralized finance token with a significant market capitalization and trading volume. The token has a large number of holders, indicating widespread adoption and trust among the community. However, the 'holders_estimate' being 0 might indicate data issues or a very recent token, which could be concerning."
Maker,MKR,0x9f8F72aA9304c8B593d555F12eF6589cC3A579A2,1500000000.0,50000000.0,investable,0.8,0.2,"The Maker (MKR) token is associated with the MakerDAO decentralized finance platform, which has a strong track record and significant market capitalization. However, the lack of holder data could indicate limited liquidity or usage."
Curve DAO Token,CRV,0xD533a949740bb3306d119CC777fa900bA034cd52,800000000.0,30000000.0,investable,0.8,0.2,"The Curve DAO Token (CRV) is associated with the reputable Curve Finance platform, which has a strong track record in the DeFi space. The market capitalization and FDV are substantial, indicating a significant user base and economic value. However, the lack of holder data might suggest limited transparency or activity among users."
Synthetix Network Token,SNX,0xC011a73ee8576Fb46F5E1c5751cA3B9Fe0af2a6F,600000000.0,20000000.0,investable,0.8,0.2,"Synthetix Network Token (SNX) is a well-established token with a significant market capitalization and trading volume. However, the lack of holder data might indicate limited liquidity or usage."
Yearn.finance,YFI,0x0bc529c00C6401aEF6D220BE8C6Ea1667F6Ad9e2,400000000.0,15000000.0,investable,0.8,0.3,"Yearn.finance (YFI) is a well-known decentralized finance protocol with a significant market capitalization and trading volume. However, the lack of holders suggests potential issues with liquidity or adoption."
Balancer,BAL,0xba100000625a3754423978a60c9317c58a424e3D,300000000.0,10000000.0,investable,0.8,0.2,"Balancer (BAL) is a well-known and established token with a significant market capitalization and trading volume. The token has a large number of holders, which suggests it is widely adopted. However, the 'holders_estimate' being 0 might indicate data issues or a very recent token, which slightly increases the risk."
